module,versions
imagenet-mobilenet_v1_075_128-feature_vector,2
imagenet-mobilenet_v1_075_128-quantops-classification,2
imagenet-mobilenet_v1_075_128-quantops-feature_vector,2
imagenet-mobilenet_v1_075_160-classification,2
imagenet-mobilenet_v1_075_160-feature_vector,2
imagenet-mobilenet_v1_075_160-quantops-classification,2
imagenet-mobilenet_v1_075_160-quantops-feature_vector,2
imagenet-mobilenet_v1_075_192-classification,2
imagenet-mobilenet_v1_075_192-feature_vector,2
imagenet-mobilenet_v1_075_192-quantops-classification,2
imagenet-mobilenet_v1_075_192-quantops-feature_vector,2
imagenet-mobilenet_v1_075_224-classification,2
imagenet-mobilenet_v1_075_224-feature_vector,2
imagenet-mobilenet_v1_075_224-quantops-classification,2
imagenet-mobilenet_v1_075_224-quantops-feature_vector,2
imagenet-mobilenet_v1_100_128-classification,2
imagenet-mobilenet_v1_100_128-feature_vector,2
imagenet-mobilenet_v1_100_128-quantops-classification,2
imagenet-mobilenet_v1_100_128-quantops-feature_vector,2
imagenet-mobilenet_v1_100_160-classification,2
imagenet-mobilenet_v1_100_160-feature_vector,2
imagenet-mobilenet_v1_100_160-quantops-classification,2
imagenet-mobilenet_v1_100_160-quantops-feature_vector,2
imagenet-mobilenet_v1_100_192-classification,2
imagenet-mobilenet_v1_100_192-feature_vector,2
imagenet-mobilenet_v1_100_192-quantops-classification,2
imagenet-mobilenet_v1_100_192-quantops-feature_vector,2
imagenet-mobilenet_v1_100_224-classification,2
imagenet-mobilenet_v1_100_224-feature_vector,2
imagenet-mobilenet_v1_100_224-quantops-classification,2
imagenet-mobilenet_v1_100_224-quantops-feature_vector,2
imagenet-mobilenet_v2_035_128-classification,3
imagenet-mobilenet_v2_035_128-feature_vector,3
imagenet-mobilenet_v2_035_160-classification,3
imagenet-mobilenet_v2_035_160-feature_vector,3
imagenet-mobilenet_v2_035_192-classification,3
imagenet-mobilenet_v2_035_192-feature_vector,3
imagenet-mobilenet_v2_035_224-classification,3
imagenet-mobilenet_v2_035_224-feature_vector,3
imagenet-mobilenet_v2_035_96-classification,3
imagenet-mobilenet_v2_035_96-feature_vector,3
imagenet-mobilenet_v2_050_128-classification,3
imagenet-mobilenet_v2_050_128-feature_vector,3
imagenet-mobilenet_v2_050_160-classification,3
imagenet-mobilenet_v2_050_160-feature_vector,3
imagenet-mobilenet_v2_050_192-classification,3
imagenet-mobilenet_v2_050_192-feature_vector,3
imagenet-mobilenet_v2_050_224-classification,3
imagenet-mobilenet_v2_050_224-feature_vector,3
imagenet-mobilenet_v2_050_96-classification,3
imagenet-mobilenet_v2_050_96-feature_vector,3
